        table_name         |       column_name        | ordinal_position |        data_type         | is_nullable |                           d                           
 sys_user                  | created_by               |                3 | bigint                   | YES         | -
 sys_user                  | updated_at               |                4 | timestamp with time zone | YES         | -
 sys_user                  | updated_by               |                5 | bigint                   | YES         | -
 sys_user                  | deleted_at               |                6 | timestamp with time zone | YES         | -
 sys_user                  | deleted_by               |                7 | bigint                   | YES         | -
 sys_user                  | status                   |                8 | smallint                 | YES         | -
 sys_user                  | user_gender              |                9 | smallint                 | YES         | -
 sys_user                  | user_name                |               10 | character varying        | NO          | -
 sys_user                  | password                 |               11 | character varying        | NO          | -
 sys_user                  | nick_name                |               12 | character varying        | YES         | -
 sys_user                  | session_policy           |               13 | character varying        | NO          | 'inherit'::character varying
 sys_user                  | session_id               |               14 | character varying        | YES         | -
 sys_user                  | user_phone               |               15 | character varying        | YES         | -
 sys_user                  | user_email               |               16 | character varying        | YES         | -
 sys_user                  | user_memo                |               17 | text                     | YES         | -
 sys_user_role             | user_id                  |                1 | bigint                   | NO          | -
 sys_user_role             | role_id                  |                2 | bigint                   | NO          | -
 system_settings           | setting_key              |                1 | character varying        | NO          | -
 system_settings           | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 system_settings           | created_by               |                3 | bigint                   | YES         | -
 system_settings           | updated_at               |                4 | timestamp with time zone | YES         | -
 system_settings           | updated_by               |                5 | bigint                   | YES         | -
 system_settings           | deleted_at               |                6 | timestamp with time zone | YES         | -
 system_settings           | deleted_by               |                7 | bigint                   | YES         | -
 system_settings           | setting_type             |                8 | character varying        | NO          | -
 system_settings           | setting_value            |                9 | character varying        | NO          | -
 system_settings           | description              |               10 | character varying        | YES         | -
(153 rows)

